pubtime	pcode	sentiment_score	半导体电子	计算机通信互联网	新能源电力设备	汽车产业链	医药医疗	金融	地产建筑建材	机械设备高端制造	军工航空航天	有色金属资源	化工材料	消费食品家电轻工	交通运输物流	公用事业环保	综合其他
2019-12-31 16:55:00	国令第723号	0.665775	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2019-12-24 16:55:00	国函〔2019〕137号	0.689602	0.000000	0.050000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.150000	0.000000	0.000000	0.800000
2019-12-24 16:55:00	国发〔2019〕28号	0.657184	0.000000	0.081633	0.000000	0.040816	0.020408	0.489796	0.000000	0.040816	0.000000	0.000000	0.000000	0.081633	0.122449	0.000000	0.122449
2019-12-17 16:55:00	国办发〔2019〕51号	0.686834	0.000000	0.200000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.800000
2019-12-03 08:25:00	国办公开办函〔2019〕61号	0.686836	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2019-11-26 16:55:00	国函〔2019〕113号	0.711964	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.086957	0.000000	0.000000	0.000000	0.000000	0.000000	0.086957	0.000000	0.826087
2019-11-26 16:55:00	国函〔2019〕114号	0.698570	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.086957	0.043478	0.000000	0.000000	0.000000	0.000000	0.086957	0.000000	0.782609
2019-11-26 14:48:57	国办公开办函〔2019〕60号	0.664281	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
2019-11-21 16:55:00	国办发〔2019〕50号	0.693630	0.000000	0.000000	0.000000	0.000000	0.000000	0.230769	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.769231
2019-11-08 16:55:00	国办函〔2019〕109号	0.664198	0.000000	0.214286	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.428571	0.000000	0.000000	0.000000	0.142857	0.000000	0.214286
2019-11-08 16:55:00	国发〔2019〕24号	0.678787	0.000000	0.000000	0.000000	0.000000	0.200000	0.200000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.600000
2019-11-07 16:55:00	国发〔2019〕23号	0.687175	0.000000	0.048780	0.048780	0.170732	0.048780	0.609756	0.024390	0.000000	0.000000	0.000000	0.024390	0.000000	0.000000	0.000000	0.024390
2019-11-04 17:55:00	国办发〔2019〕48号	0.675150	0.000000	0.200000	0.000000	0.000000	0.000000	0.200000	0.000000	0.000000	0.000000	0.000000	0.200000	0.000000	0.200000	0.000000	0.200000
2019-10-31 16:55:00	国令第721号	0.634833	0.000000	0.000000	0.000000	0.000000	0.125000	0.093750	0.031250	0.000000	0.000000	0.000000	0.031250	0.218750	0.250000	0.000000	0.250000
2019-10-29 16:55:00	国函〔2019〕99号	0.668647	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2019-10-22 16:02:49	国函〔2019〕97号	0.648994	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2019-10-16 16:55:00	国发〔2019〕22号	0.582498	0.000000	0.000000	0.000000	0.000000	0.000000	0.032258	0.741935	0.000000	0.048387	0.016129	0.000000	0.000000	0.161290	0.000000	0.000000
2019-10-15 14:55:00	国令第720号	0.721809	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2019-10-12 12:45:51	国办函〔2015〕153号	0.445559	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2019-10-11 17:55:00	国办发〔2019〕47号	0.645340	0.000000	0.000000	0.000000	0.000000	0.923077	0.038462	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.012821	0.025641
2019-10-09 16:55:00	国发〔2019〕21号	0.609559	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000
2019-10-08 16:55:00	国函〔2019〕87号	0.682833	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
2019-09-27 16:55:00	国发〔2019〕20号	0.684350	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2019-09-24 16:55:00	国办函〔2019〕92号	0.676149	0.000000	0.043011	0.000000	0.000000	0.000000	0.118280	0.763441	0.000000	0.000000	0.000000	0.053763	0.000000	0.010753	0.000000	0.010753
2019-09-23 16:55:00	国办发〔2019〕45号	0.700571	0.000000	0.000000	0.000000	0.000000	0.000000	0.084337	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.879518	0.012048	0.024096
2019-09-18 16:55:00	国发〔2019〕19号	0.669934	0.000000	0.000000	0.000000	0.142857	0.000000	0.000000	0.357143	0.000000	0.214286	0.000000	0.071429	0.000000	0.142857	0.071429	0.000000
2019-09-17 16:53:00	国办发〔2019〕43号	0.625668	0.000000	0.041667	0.000000	0.062500	0.041667	0.166667	0.020833	0.041667	0.020833	0.000000	0.000000	0.229167	0.104167	0.000000	0.270833
2019-09-12 16:55:00	国发〔2019〕18号	0.672221	0.000000	0.333333	0.000000	0.000000	0.083333	0.041667	0.000000	0.000000	0.000000	0.000000	0.000000	0.083333	0.041667	0.083333	0.333333
2019-09-10 16:55:00	国办发〔2019〕44号	0.681281	0.000000	0.000000	0.000000	0.022222	0.022222	0.311111	0.000000	0.000000	0.000000	0.000000	0.000000	0.088889	0.355556	0.000000	0.200000
2019-09-05 16:55:00	国函〔2019〕77号	0.657659	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2019-09-05 09:58:00	国令第719号	0.675224	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2019-09-02 14:55:00	国办发〔2019〕40号	0.537343	0.000000	0.065574	0.000000	0.000000	0.180328	0.065574	0.016393	0.032787	0.000000	0.000000	0.016393	0.131148	0.000000	0.016393	0.475410
2019-08-27 16:55:00	国办发〔2019〕42号	0.689596	0.000000	0.076923	0.019231	0.076923	0.019231	0.067308	0.000000	0.000000	0.000000	0.009615	0.000000	0.480769	0.105769	0.000000	0.144231
2019-08-26 14:55:00	国发〔2019〕16号	0.652219	0.001923	0.055769	0.013462	0.051923	0.184615	0.244231	0.005769	0.030769	0.075000	0.011538	0.013462	0.019231	0.169231	0.013462	0.109615
2019-08-26 14:55:00	国函〔2019〕72号	0.669758	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.076923	0.000000	0.000000	0.000000	0.000000	0.000000	0.923077	0.000000	0.000000
2019-08-23 16:57:00	国办发〔2019〕41号	0.696245	0.000000	0.086957	0.000000	0.008696	0.000000	0.165217	0.000000	0.000000	0.017391	0.000000	0.000000	0.556522	0.060870	0.000000	0.104348
2019-08-09 16:55:00	国令第718号	0.652954	0.000000	0.000000	0.000000	0.000000	0.200000	0.200000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.600000
2019-08-08 14:55:00	国办发〔2019〕38号	0.672356	0.000000	0.407407	0.000000	0.018519	0.055556	0.129630	0.000000	0.018519	0.000000	0.000000	0.018519	0.166667	0.092593	0.000000	0.092593
